01EB	oogon	LATIN SMALL LETTER O WITH OGONEK	Uni.: 5.1; MUFI: 3.0
01EC	Oogonmacr	LATIN CAPITAL LETTER O WITH OGONEK AND MACRON	Uni.: 5.1; MUFI: 3.0
01ED	oogonmacr	LATIN SMALL LETTER O WITH OGONEK AND MACRON	Uni.: 5.1; MUFI: 3.0
01F4	Gacute	LATIN CAPITAL LETTER G WITH ACUTE	Uni.: 5.1; MUFI: 3.0
01F5	gacute	LATIN SMALL LETTER G WITH ACUTE	Uni.: 5.1; MUFI: 3.0
01F6	HWAIR	LATIN CAPITAL LETTER HWAIR	Uni.: 5.1; MUFI: 3.0
01F7	WYNN	LATIN CAPITAL LETTER WYNN	Uni.: 5.1; MUFI: 3.0
01FC	AEligacute	LATIN CAPITAL LETTER AE WITH ACUTE	Uni.: 5.1; MUFI: 3.0
01FD	aeligacute	LATIN SMALL LETTER AE WITH ACUTE	Uni.: 5.1; MUFI: 3.0
01FE	Oslashacute	LATIN CAPITAL LETTER O WITH STROKE AND ACUTE	Uni.: 5.1; MUFI: 3.0
01FF	oslashacute	LATIN SMALL LETTER O WITH STROKE AND ACUTE	Uni.: 5.1; MUFI: 3.0
021C	YOGH	LATIN CAPITAL LETTER YOGH	Uni.: 5.1; MUFI: 3.0
021D	yogh	LATIN SMALL LETTER YOGH	Uni.: 5.1; MUFI: 3.0
0226	Adot	LATIN CAPITAL LETTER A WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
0227	adot	LATIN SMALL LETTER A WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
022A	Oumlmacr	LATIN CAPITAL LETTER O WITH DIAERESIS AND MACRON	Uni.: 5.1; MUFI: 3.0
022B	oumlmacr	LATIN SMALL LETTER O WITH DIAERESIS AND MACRON	Uni.: 5.1; MUFI: 3.0
022E	Odot	LATIN CAPITAL LETTER O WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
022F	odot	LATIN SMALL LETTER O WITH DOT ABOVE	Uni.: 5.1; MUFI: 3.0
0232	Ymacr	LATIN CAPITAL LETTER Y WITH MACRON	Uni.: 5.1; MUFI: 3.0
0233	ymacr	LATIN SMALL LETTER Y WITH MACRON	Uni.: 5.1; MUFI: 3.0
0237	jnodot	LATIN SMALL LETTER DOTLESS J	Uni.: 5.1; MUFI: 3.0
0248	Jbar	LATIN CAPITAL LETTER J WITH STROKE	Uni.: 5.1; MUFI: 3.0
0249	jbar	LATIN SMALL LETTER J WITH STROKE	Uni.: 5.1; MUFI: 3.0
0254	oopen	LATIN SMALL LETTER OPEN O	Uni.: 5.1; MUFI: 3.0
0256	dtail	LATIN SMALL LETTER D WITH TAIL	Uni.: 5.1; MUFI: 3.0
0259	schwa	LATIN SMALL LETTER SCHWA	Uni.: 5.1; MUFI: 3.0
025F	jnodotstrok	LATIN SMALL LETTER DOTLESS J WITH STROKE	Uni.: 5.1; MUFI: 3.0
0261	gopen	LATIN SMALL LETTER SCRIPT G	Uni.: 5.1; MUFI: 3.0
0262	gscap	LATIN LETTER SMALL CAPITAL G	Uni.: 5.1; MUFI: 3.0
0266	hhook	LATIN SMALL LETTER H WITH HOOK	Uni.: 5.1; MUFI: 3.0
0268	istrok	LATIN SMALL LETTER I WITH STROKE	Uni.: 5.1; MUFI: 3.0
026A	iscap	LATIN LETTER SMALL CAPITAL I	Uni.: 5.1; MUFI: 3.0
026F	mturn	LATIN SMALL LETTER TURNED M	Uni.: ; MUFI: 4.0
0272	nlfhook	LATIN SMALL LETTER N WITH LEFT HOOK	Uni.: 5.1; MUFI: 3.0
0274	nscap	LATIN LETTER SMALL CAPITAL N	Uni.: 5.1; MUFI: 3.0
0276	oeligscap	LATIN LETTER SMALL CAPITAL OE	Uni.: 5.1; MUFI: 3.0
027C	rdes	LATIN SMALL LETTER R WITH LONG LEG	Uni.: 5.1; MUFI: 3.0
0280	rscap	LATIN LETTER SMALL CAPITAL R	Uni.: 5.1; MUFI: 3.0
0289	ubar	LATIN SMALL LETTER U BAR	Uni.: 5.1; MUFI: 3.0
028F	yscap	LATIN LETTER SMALL CAPITAL Y	Uni.: 5.1; MUFI: 3.0
0292	ezh	LATIN SMALL LETTER EZH	Uni.: 5.1; MUFI: 3.0
0299	bscap	LATIN LETTER SMALL CAPITAL B	Uni.: 5.1; MUFI: 3.0
029C	hscap	LATIN LETTER SMALL CAPITAL H	Uni.: 5.1; MUFI: 3.0
029F	lscap	LATIN LETTER SMALL CAPITAL L	Uni.: 5.1; MUFI: 3.0
02BC	apomod	MODIFIER LETTER APOSTROPHE	Uni.: 5.1; MUFI: 3.0
02C8	verbarup	MODIFIER LETTER VERTICAL LINE	Uni.: 5.1; MUFI: 3.0
02D8	breve	BREVE	Uni.: 5.1; MUFI: 3.0
